family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
jigsaw,jigsaw_multibin,frozen,2,1,4,38,ok,,0.7631578947368421,0.7461538461538462,0.7414965986394557,0.7651271034729681,0.8333333333333334,0.8,0.8163265306122449,0.9046153846153846,0.9591825655825656,9,4,5,20
jigsaw,jigsaw_multibin,frozen,2,2,4,38,ok,,0.5526315789473685,0.5676923076923077,0.5447498238195913,0.5636660361262563,0.7222222222222222,0.52,0.6046511627906976,0.6030769230769231,0.7219637501972676,8,5,12,13
jigsaw,jigsaw_multibin,frozen,2,3,4,38,ok,,0.6842105263157895,0.76,0.6842105263157895,0.6842105263157895,1.0,0.52,0.6842105263157895,0.8123076923076924,0.9146325886504386,13,0,12,13
jigsaw,jigsaw_multibin,frozen,2,4,4,38,ok,,0.6578947368421053,0.7030769230769232,0.6557491289198607,0.6643315606088391,0.875,0.56,0.6829268292682927,0.6830769230769231,0.8223232135647729,11,2,11,14
jigsaw,jigsaw_multibin,frozen,2,5,4,38,ok,,0.42105263157894735,0.56,0.37797619047619047,0.3262844611528822,1.0,0.12,0.21428571428571427,0.9415384615384615,0.9770788530465951,13,0,22,3
jigsaw,jigsaw_multibin,frozen,2,6,4,38,ok,,0.7894736842105263,0.7107692307692308,0.7285714285714285,0.7691729323308271,0.7741935483870968,0.96,0.8571428571428571,0.7938461538461539,0.8448945570738359,6,7,1,24
jigsaw,jigsaw_multibin,frozen,2,7,4,38,ok,,0.6578947368421053,0.74,0.6576576576576576,0.6548127074442863,1.0,0.48,0.6486486486486487,0.8953846153846153,0.9528165784413665,13,0,13,12
jigsaw,jigsaw_multibin,frozen,2,8,4,38,ok,,0.5789473684210527,0.5138461538461538,0.5128205128205128,0.5695006747638326,0.6666666666666666,0.72,0.6923076923076923,0.5015384615384615,0.6384913188221788,4,9,7,18
jigsaw,jigsaw_multibin,frozen,2,9,4,38,ok,,0.5,0.5461538461538462,0.49965349965349964,0.5038115038115037,0.7142857142857143,0.4,0.5128205128205128,0.7169230769230769,0.8325274972220118,9,4,15,10
jigsaw,jigsaw_multibin,frozen,2,10,4,38,ok,,0.5789473684210527,0.6799999999999999,0.5742296918767507,0.560076662243845,1.0,0.36,0.5294117647058824,0.8676923076923078,0.9275317488206983,13,0,16,9
jigsaw,jigsaw_multibin,frozen,4,1,8,34,ok,,0.7647058823529411,0.7786561264822134,0.7509157509157509,0.7716009480715362,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.9130434782608695,0.9556306255058062,9,2,6,17
jigsaw,jigsaw_multibin,frozen,4,2,8,34,ok,,0.7352941176470589,0.8043478260869565,0.7332170880557978,0.7415252064208422,1.0,0.6086956521739131,0.7567567567567568,0.9841897233201581,0.9930929184237313,11,0,9,14
jigsaw,jigsaw_multibin,frozen,4,3,8,34,ok,,0.8235294117647058,0.7747035573122529,0.7875,0.8183823529411764,0.84,0.9130434782608695,0.875,0.8893280632411066,0.9506971531810295,7,4,2,21
jigsaw,jigsaw_multibin,frozen,4,4,8,34,ok,,0.8235294117647058,0.8695652173913043,0.8178571428571428,0.829201680672269,1.0,0.7391304347826086,0.85,0.9644268774703558,0.9857871064467766,11,0,6,17
jigsaw,jigsaw_multibin,frozen,4,5,8,34,ok,,0.6470588235294118,0.7391304347826086,0.6470588235294118,0.6470588235294118,1.0,0.4782608695652174,0.6470588235294118,0.7865612648221344,0.9066909852869333,11,0,12,11
jigsaw,jigsaw_multibin,frozen,4,6,8,34,ok,,0.8529411764705882,0.7964426877470356,0.8174006444683136,0.8458330700701333,0.8461538461538461,0.9565217391304348,0.8979591836734694,0.8063241106719368,0.849333770804359,7,4,1,22
jigsaw,jigsaw_multibin,frozen,4,7,8,34,ok,,0.7647058823529411,0.8260869565217391,0.7614035087719297,0.7713106295149639,1.0,0.6521739130434783,0.7894736842105263,0.91699604743083,0.9662773158875108,11,0,8,15
jigsaw,jigsaw_multibin,frozen,4,8,8,34,ok,,0.8823529411764706,0.8181818181818181,0.8488888888888889,0.8739869281045751,0.8518518518518519,1.0,0.92,0.9565217391304348,0.9806080973566796,7,4,0,23
jigsaw,jigsaw_multibin,frozen,4,9,8,34,ok,,0.7352941176470589,0.7094861660079052,0.7043478260869566,0.7381074168797954,0.8181818181818182,0.782608695652174,0.8,0.8695652173913043,0.9487447015184587,7,4,5,18
jigsaw,jigsaw_multibin,frozen,4,10,8,34,ok,,0.7941176470588235,0.7055335968379447,0.7254901960784315,0.7739331026528258,0.7857142857142857,0.9565217391304348,0.8627450980392157,0.7529644268774703,0.8484832915228244,5,6,1,22
jigsaw,jigsaw_multibin,frozen,6,1,12,30,ok,,0.9333333333333333,0.9523809523809523,0.925,0.9349999999999999,1.0,0.9047619047619048,0.95,0.9417989417989417,0.9813852813852812,9,0,2,19
jigsaw,jigsaw_multibin,frozen,6,2,12,30,ok,,0.7,0.5952380952380952,0.6000000000000001,0.68,0.75,0.8571428571428571,0.8,0.6058201058201058,0.7365621968206434,3,6,3,18
jigsaw,jigsaw_multibin,frozen,6,3,12,30,ok,,0.8333333333333334,0.8492063492063492,0.8168498168498168,0.8388278388278388,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.9259259259259259,0.9711476403426867,8,1,4,17
jigsaw,jigsaw_multibin,frozen,6,4,12,30,ok,,0.8,0.8253968253968254,0.784688995215311,0.8076555023923445,0.9411764705882353,0.7619047619047619,0.8421052631578947,0.9312169312169313,0.9735198935918126,8,1,5,16
jigsaw,jigsaw_multibin,frozen,6,5,12,30,ok,,0.9,0.9285714285714286,0.8901098901098901,0.9032967032967034,1.0,0.8571428571428571,0.9230769230769231,0.9788359788359788,0.9912106871734203,9,0,3,18
jigsaw,jigsaw_multibin,frozen,6,6,12,30,ok,,0.7333333333333333,0.6825396825396826,0.6825396825396826,0.7333333333333333,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8571428571428572,0.9498958640337951,5,4,4,17
jigsaw,jigsaw_multibin,frozen,6,7,12,30,ok,,0.9666666666666667,0.9761904761904762,0.9614890885750962,0.9671373555840821,1.0,0.9523809523809523,0.975609756097561,0.9947089947089947,0.997835497835498,9,0,1,20
jigsaw,jigsaw_multibin,frozen,6,8,12,30,ok,,0.8333333333333334,0.753968253968254,0.7777777777777777,0.8222222222222222,0.8333333333333334,0.9523809523809523,0.8888888888888888,0.7619047619047619,0.8411086798828853,5,4,1,20
jigsaw,jigsaw_multibin,frozen,6,9,12,30,ok,,0.7333333333333333,0.6825396825396826,0.6825396825396826,0.7333333333333333,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.7566137566137566,0.8666595204101661,5,4,4,17
jigsaw,jigsaw_multibin,frozen,6,10,12,30,ok,,0.6,0.6507936507936508,0.5927601809954751,0.6144796380090498,0.8461538461538461,0.5238095238095238,0.6470588235294118,0.8412698412698413,0.9105948279290202,7,2,10,11
jigsaw,jigsaw_multibin,frozen,8,1,16,26,ok,,0.8461538461538461,0.8947368421052632,0.8300653594771241,0.8541980894922071,1.0,0.7894736842105263,0.8823529411764706,1.0,1.0,7,0,4,15
jigsaw,jigsaw_multibin,frozen,8,2,16,26,ok,,0.5769230769230769,0.7105263157894737,0.5762962962962963,0.5838176638176639,1.0,0.42105263157894735,0.5925925925925926,0.7593984962406015,0.9053019965702129,7,0,11,8
jigsaw,jigsaw_multibin,frozen,8,3,16,26,ok,,0.8461538461538461,0.7593984962406015,0.7833333333333333,0.8371794871794871,0.8571428571428571,0.9473684210526315,0.9,0.9473684210526315,0.9820196424074541,4,3,1,18
jigsaw,jigsaw_multibin,frozen,8,4,16,26,ok,,0.9230769230769231,0.9473684210526316,0.9097222222222222,0.9257478632478632,1.0,0.8947368421052632,0.9444444444444444,0.9624060150375939,0.9875598086124402,7,0,2,17
jigsaw,jigsaw_multibin,frozen,8,5,16,26,ok,,0.5769230769230769,0.7105263157894737,0.5762962962962963,0.5838176638176639,1.0,0.42105263157894735,0.5925925925925926,0.9548872180451128,0.9837043589365568,7,0,11,8
jigsaw,jigsaw_multibin,frozen,8,6,16,26,ok,,0.8846153846153846,0.8308270676691729,0.8461538461538463,0.881656804733728,0.9,0.9473684210526315,0.9230769230769231,0.9624060150375939,0.9880765988197036,5,2,1,18
jigsaw,jigsaw_multibin,frozen,8,7,16,26,ok,,0.8461538461538461,0.8045112781954887,0.8045112781954887,0.8461538461538461,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8721804511278195,0.9597107188113452,5,2,2,17
jigsaw,jigsaw_multibin,frozen,8,8,16,26,ok,,0.8076923076923077,0.868421052631579,0.7926634768740032,0.8184271868482396,1.0,0.7368421052631579,0.8484848484848485,0.9699248120300752,0.988578386109753,7,0,5,14
jigsaw,jigsaw_multibin,frozen,8,9,16,26,ok,,0.8076923076923077,0.868421052631579,0.7926634768740032,0.8184271868482396,1.0,0.7368421052631579,0.8484848484848485,0.9548872180451127,0.9853041695146958,7,0,5,14
jigsaw,jigsaw_multibin,frozen,8,10,16,26,ok,,0.7307692307692307,0.8157894736842105,0.7204301075268817,0.7452440033085194,1.0,0.631578947368421,0.7741935483870968,0.924812030075188,0.9715379457415467,7,0,7,12
jigsaw,jigsaw_multibin,frozen,10,1,20,22,ok,,0.8636363636363636,0.9117647058823529,0.8362282878411911,0.8727723889014211,1.0,0.8235294117647058,0.9032258064516129,0.9411764705882353,0.9835956312349501,5,0,3,14
jigsaw,jigsaw_multibin,frozen,10,2,20,22,ok,,0.7272727272727273,0.8235294117647058,0.7053571428571428,0.7491883116883117,1.0,0.6470588235294118,0.7857142857142857,0.9058823529411765,0.9742905056759545,5,0,6,11
jigsaw,jigsaw_multibin,frozen,10,3,20,22,ok,,0.7272727272727273,0.7529411764705882,0.6857142857142857,0.7480519480519482,0.9230769230769231,0.7058823529411765,0.8,0.8470588235294118,0.9574622609224686,4,1,5,12
